valor;glosa
1;Parquet, piso flotante, cerámico, madera, alfombra, flexit, cubrepiso u otro similar, sobre radier o vigas de madera
2;Radier sin revestimiento
3;Baldosa de cemento
4;Capa de cemento sobre tierra
5;Tierra
98;No Aplica
99;Missing
