valor;glosa
1;Tejas o tejuelas de arcilla, metálicas, de cemento, de madera, asfálticas o plásticas
2;Losa hormigón
3;Planchas metálicas de zinc, cobre, etc. o fibrocemento (tipo pizarreño)
4;Fonolita o plancha de fieltro embreado
5;Paja, coirón, totora o caña
6;Materiales precarios (lata, cartón, plásticos, etc.)
7;Sin cubierta sólida de techo
98;No Aplica
99;Missing
