valor;glosa
1;Casa
2;Departamento en edificio
3;Vivienda tradicional indígena (ruka, pae pae u otras)
4;Pieza en casa antigua o en conventillo
5;Mediagua, mejora, rancho o choza
6;Móvil (carpa, casa rodante o similar)
7;Otro tipo de vivienda particular
8;Vivienda colectiva
9;Operativo personas en tránsito (no es vivienda)
10;Operativo calle (no es vivienda)
0;No Aplica
11;Missing
